#1				
double	AHU(8761, 5)		
1072800	293.9136364	0.334545455	0.334545455	1
1076400	296.2583333	0.303333333	0.303333333	1
1080000	300.9166667	0.23	0.23	1
1083600	301.1583333	0.22	0.22	1
1087200	301.4	0.196666667	0.196666667	1
1090800	301.3916667	0.2	0.2	1
1094400	301.3416667	0.2075	0.2075	1
1098000	301.3833333	0.210833333	0.210833333	1
1101600	301.325	0.22	0.22	1
1105200	301.3	0.229166667	0.229166667	1
1108800	301.35	0.24	0.24	1
1112400	301.2681818	0.243636364	0.243636364	1
1116000	301.2583333	0.248333333	0.248333333	1
1119600	301.1583333	0.245	0.245	1
1123200	301.05	0.24	0.24	1
1126800	300.9227273	0.24	0.24	1
1130400	300.95	0.24	0.24	1
1134000	300.8833333	0.24	0.24	1
1137600	300.92	0.232	0.232	1
1141200	300.9	0.2425	0.2425	1
1144800	301.0333333	0.240833333	0.240833333	1
1148400	301.0681818	0.248181818	0.248181818	1
1152000	301	0.2475	0.2475	1
1155600	300.9166667	0.24	0.24	1
1159200	300.9416667	0.24	0.24	1
1162800	300.9227273	0.233636364	0.233636364	1
1166400	300.8916667	0.230833333	0.230833333	1
1170000	300.8833333	0.2325	0.2325	1
1173600	300.875	0.230833333	0.230833333	1
1177200	300.7583333	0.231666667	0.231666667	1
1180800	300.675	0.233333333	0.233333333	1
1184400	300.6666667	0.2425	0.2425	1
1188000	300.6666667	0.25	0.25	1
1191600	300.5666667	0.2425	0.2425	1
1195200	300.5409091	0.23	0.23	1
1198800	300.4416667	0.235	0.235	1
1202400	300.3416667	0.24	0.24	1
1206000	300.25	0.246666667	0.246666667	1
1209600	300.2666667	0.254166667	0.254166667	1
1213200	300.2583333	0.26	0.26	1
1216800	300.225	0.2525	0.2525	1
1220400	300.2083333	0.251666667	0.251666667	1
1224000	300.2666667	0.25	0.25	1
1227600	300.275	0.235833333	0.235833333	1
1231200	300.3136364	0.223636364	0.223636364	1
1234800	300.35	0.216153846	0.216153846	1
1238400	300.5	0.208333333	0.208333333	1
1242000	300.5666667	0.208333333	0.208333333	1
1245600	300.5333333	0.203333333	0.203333333	1
1249200	300.6416667	0.205833333	0.205833333	1
1252800	300.7583333	0.208333333	0.208333333	1
1256400	300.7416667	0.208333333	0.208333333	1
1260000	300.5136364	0.214545455	0.214545455	1
1263600	300.4318182	0.22	0.22	1
1267200	300.4681818	0.232727273	0.232727273	1
1270800	300.55	0.2475	0.2475	1
1274400	300.75	0.27	0.27	1
1278000	301.125	0.260833333	0.260833333	1
1281600	300.975	0.26	0.26	1
1285200	300.9666667	0.2575	0.2575	1
1288800	300.9833333	0.245	0.245	1
1292400	301.0583333	0.249166667	0.249166667	1
1296000	301.05	0.238333333	0.238333333	1
1299600	301.0583333	0.23	0.23	1
1303200	301.0318182	0.23	0.23	1
1306800	301.0833333	0.223333333	0.223333333	1
1310400	301.2416667	0.221666667	0.221666667	1
1314000	301.3333333	0.216666667	0.216666667	1
1317600	301.3916667	0.21	0.21	1
1321200	301.4583333	0.210833333	0.210833333	1
1324800	301.425	0.21	0.21	1
1328400	301.4583333	0.218333333	0.218333333	1
1332000	296.175	0.3125	0.3125	1
1335600	292.2166667	0.388333333	0.388333333	1
1339200	292.0333333	0.38	0.38	1
1342800	292.0227273	0.37	0.37	1
1346400	291.9833333	0.37	0.37	1
1350000	292.0666667	0.375	0.375	1
1353600	291.8666667	0.386666667	0.386666667	1
1357200	291.85	0.389166667	0.389166667	1
1360800	292.5083333	0.375833333	0.375833333	1
1364400	293.2833333	0.361666667	0.361666667	1
1368000	293.5166667	0.3525	0.3525	1
1371600	293.55	0.3425	0.3425	1
1375200	293.35	0.34	0.34	1
1378800	293.2583333	0.3325	0.3325	1
1382400	293.2	0.328333333	0.328333333	1
1386000	293.2772727	0.315454545	0.315454545	1
1389600	293.5083333	0.318333333	0.318333333	1
1393200	293.65	0.32	0.32	1
1396800	293.6583333	0.32	0.32	1
1400400	293.7916667	0.32	0.32	1
1404000	293.95	0.315	0.315	1
1407600	294.55	0.303333333	0.303333333	1
1411200	295.2416667	0.29	0.29	1
1414800	295.275	0.291666667	0.291666667	1
1418400	294.85	0.307272727	0.307272727	1
1422000	294.6083333	0.324166667	0.324166667	1
1425600	293.5416667	0.388333333	0.388333333	1
1429200	293.1416667	0.413333333	0.413333333	1
1432800	293.9833333	0.398333333	0.398333333	1
1436400	293.35	0.401666667	0.401666667	1
1440000	293.8166667	0.383333333	0.383333333	1
1443600	294.1083333	0.355833333	0.355833333	1
1447200	293.9916667	0.345833333	0.345833333	1
1450800	293.8583333	0.316666667	0.316666667	1
1454400	293.875	0.313333333	0.313333333	1
1458000	294.0416667	0.299166667	0.299166667	1
1461600	293.975	0.299166667	0.299166667	1
1465200	294.2954545	0.286363636	0.286363636	1
1468800	294.4083333	0.283333333	0.283333333	1
1472400	294.2333333	0.28	0.28	1
1476000	294.3166667	0.275833333	0.275833333	1
1479600	294.3318182	0.273636364	0.273636364	1
1483200	295.2409091	0.260909091	0.260909091	1
1486800	295.6583333	0.256666667	0.256666667	1
1490400	299.6083333	0.215833333	0.215833333	1
1494000	300.1227273	0.21	0.21	1
1497600	300.3583333	0.209166667	0.209166667	1
1501200	300.35	0.209166667	0.209166667	1
1504800	300.3863636	0.209090909	0.209090909	1
1508400	300.4833333	0.204166667	0.204166667	1
1512000	300.5333333	0.200833333	0.200833333	1
1515600	300.5333333	0.199166667	0.199166667	1
1519200	300.675	0.19	0.19	1
1522800	300.7333333	0.1875	0.1875	1
1526400	300.7333333	0.19	0.19	1
1530000	300.7590909	0.18	0.18	1
1533600	300.6833333	0.184166667	0.184166667	1
1537200	300.75	0.186666667	0.186666667	1
1540800	300.7416667	0.18	0.18	1
1544400	300.8083333	0.1775	0.1775	1
1548000	300.8166667	0.170833333	0.170833333	1
1551600	300.8772727	0.173636364	0.173636364	1
1555200	300.9083333	0.178333333	0.178333333	1
1558800	300.9166667	0.18	0.18	1
1562400	300.8833333	0.18	0.18	1
1566000	300.9666667	0.176666667	0.176666667	1
1569600	300.95	0.1775	0.1775	1
1573200	300.9590909	0.175454545	0.175454545	1
1576800	300.9666667	0.18	0.18	1
1580400	300.9583333	0.173333333	0.173333333	1
1584000	301.2083333	0.171666667	0.171666667	1
1587600	301.2166667	0.1725	0.1725	1
1591200	301.1681818	0.18	0.18	1
1594800	301.1863636	0.189090909	0.189090909	1
1598400	301.15	0.2	0.2	1
1602000	301.1166667	0.2	0.2	1
1605600	301.1409091	0.2	0.2	1
1609200	301.1772727	0.199090909	0.199090909	1
1612800	301.1166667	0.2	0.2	1
1616400	301.075	0.2	0.2	1
1620000	301.075	0.2	0.2	1
1623600	301.1	0.2	0.2	1
1627200	301.1583333	0.199166667	0.199166667	1
1630800	301.1416667	0.1925	0.1925	1
1634400	301.15	0.1875	0.1875	1
1638000	301.2583333	0.181666667	0.181666667	1
1641600	301.3166667	0.166666667	0.166666667	1
1645200	301.4166667	0.161666667	0.161666667	1
1648800	301.3166667	0.18	0.18	1
1652400	301.2833333	0.185	0.185	1
1656000	301.2833333	0.188333333	0.188333333	1
1659600	301.2666667	0.19	0.19	1
1663200	301.2583333	0.191666667	0.191666667	1
1666800	301.2916667	0.191666667	0.191666667	1
1670400	298.3833333	0.226666667	0.226666667	1
1674000	292.3666667	0.313333333	0.313333333	1
1677600	292.1333333	0.321666667	0.321666667	1
1681200	292.5333333	0.326666667	0.326666667	1
1684800	293.1833333	0.320833333	0.320833333	1
1688400	294.0333333	0.2875	0.2875	1
1692000	294.0590909	0.271818182	0.271818182	1
1695600	293.2666667	0.259166667	0.259166667	1
1699200	292.6666667	0.2875	0.2875	1
1702800	293.1666667	0.261666667	0.261666667	1
1706400	293.6083333	0.250833333	0.250833333	1
1710000	293.5666667	0.248333333	0.248333333	1
1713600	293.875	0.239166667	0.239166667	1
1717200	297.175	0.1975	0.1975	1
1720800	300.9772727	0.154545455	0.154545455	1
1724400	301.375	0.144166667	0.144166667	1
1728000	301.4666667	0.1375	0.1375	1
1731600	301.58	0.135	0.135	1
1735200	301.57	0.132	0.132	1
1738800	301.6333333	0.13	0.13	1
1742400	301.6666667	0.124166667	0.124166667	1
1746000	301.7166667	0.1225	0.1225	1
1749600	301.7333333	0.12	0.12	1
1753200	301.7318182	0.117272727	0.117272727	1
1756800	301.4071429	0.121428571	0.121428571	1
1760400	293.0083333	0.201666667	0.201666667	1
1764000	292.0388889	0.233333333	0.233333333	1
1767600	291.8722222	0.233333333	0.233333333	1
1771200	292.1333333	0.2425	0.2425	1
1774800	296.5083333	0.185833333	0.185833333	1
1778400	296.4416667	0.185	0.185	1
1782000	295.075	0.195833333	0.195833333	1
1785600	294.3416667	0.214166667	0.214166667	1
1789200	294.6166667	0.215833333	0.215833333	1
1792800	294.8681818	0.2	0.2	1
1796400	294.825	0.2	0.2	1
1800000	294.925	0.196666667	0.196666667	1
1803600	298.125	0.163333333	0.163333333	1
1807200	301.5666667	0.13	0.13	1
1810800	301.7833333	0.126666667	0.126666667	1
1814400	301.8583333	0.12	0.12	1
1818000	301.9333333	0.1175	0.1175	1
1821600	302.05	0.118181818	0.118181818	1
1825200	302.0357143	0.11	0.11	1
1828800	302.225	0.11	0.11	1
1832400	302.0583333	0.105	0.105	1
1836000	302.1083333	0.096666667	0.096666667	1
1839600	302.1583333	0.095	0.095	1
1843200	294.9666667	0.168333333	0.168333333	1
1846800	291.7	0.229166667	0.229166667	1
1850400	291.475	0.255833333	0.255833333	1
1854000	291.4409091	0.269090909	0.269090909	1
1857600	291.35	0.275	0.275	1
1861200	291.6055556	0.286666667	0.286666667	1
1864800	291.9916667	0.293333333	0.293333333	1
1868400	299.1083333	0.199166667	0.199166667	1
1872000	297.525	0.2175	0.2175	1
1875600	296.7916667	0.23	0.23	1
1879200	296.475	0.2325	0.2325	1
1882800	296.3642857	0.24	0.24	1
1886400	296.3318182	0.238181818	0.238181818	1
1890000	298.85	0.214166667	0.214166667	1
1893600	301.3416667	0.189166667	0.189166667	1
1897200	301.4916667	0.180833333	0.180833333	1
1900800	301.525	0.179166667	0.179166667	1
1904400	301.6416667	0.1575	0.1575	1
1908000	301.7916667	0.1425	0.1425	1
1911600	301.7416667	0.14	0.14	1
1915200	301.775	0.141666667	0.141666667	1
1918800	301.6136364	0.17	0.17	1
1922400	301.6409091	0.17	0.17	1
1926000	301.6166667	0.17	0.17	1
1929600	295.3583333	0.241666667	0.241666667	1
1933200	292.5227273	0.271818182	0.271818182	1
1936800	293.2590909	0.263636364	0.263636364	1
1940400	294.45	0.249090909	0.249090909	1
1944000	294.7416667	0.2475	0.2475	1
1947600	294.4416667	0.250833333	0.250833333	1
1951200	292.175	0.285	0.285	1
1954800	291.9227273	0.29	0.29	1
1958400	292.1055556	0.287777778	0.287777778	1
